"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2023-04-07T11:15:44.655+09:00"
"RESULT_INF"
"TOTAL_NUMBER","3876"
"FROM_NUMBER","1"
"TO_NUMBER","3876"
"TABLE_INF","0003459018"
"STAT_NAME","00200524","人口推計"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","人口推計 各年10月1日現在人口 平成27年国勢調査基準 統計表"
"TITLE","001","年齢（各歳）、男女別人口及び人口性比－総人口、日本人人口"
"CYCLE","年次"
"SURVEY_DATE","0"
"OPEN_DATE","2022-11-11"
"SMALL_AREA","0"
"COLLECT_AREA","該当なし"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","3876"
"UPDATED_DATE","2022-11-11"
"STATISTICS_NAME_SPEC","人口推計","各年10月1日現在人口","平成27年国勢調査基準","統計表","",""
"TITLE_SPEC","","年齢（各歳）、男女別人口及び人口性比－総人口、日本人人口","","","",""
"NOTE","***","該当数値がないもの"
"NOTE","-","該当数値がないもの　"
"VALUE"
"cat01_code","男女別・性比","cat02_code","人口","cat03_code","年齢各歳","area_code","全国","time_code","時間軸（年月日現在）","unit","value","annotation"
"001","男女計","001","総人口","01000","総数","00000","全国","1501","2015年10月1日現在","千人","127095",""
"001","男女計","001","総人口","01000","総数","00000","全国","901","2016年10月1日現在","千人","126933",""
"001","男女計","001","総人口","01000","総数","00000","全国","1001","2017年10月1日現在","千人","126706",""
"001","男女計","001","総人口","01000","総数","00000","全国","1101","2018年10月1日現在","千人","126443",""
"001","男女計","001","総人口","01000","総数","00000","全国","1201","2019年10月1日現在","千人","126167",""
"001","男女計","001","総人口","01001","0歳","00000","全国","1501","2015年10月1日現在","千人","961",""
"001","男女計","001","総人口","01001","0歳","00000","全国","901","2016年10月1日現在","千人","1002",""
"001","男女計","001","総人口","01001","0歳","00000","全国","1001","2017年10月1日現在","千人","963",""
"001","男女計","001","総人口","01001","0歳","00000","全国","1101","2018年10月1日現在","千人","942",""
"001","男女計","001","総人口","01001","0歳","00000","全国","1201","2019年10月1日現在","千人","894",""
"001","男女計","001","総人口","01002","1歳","00000","全国","1501","2015年10月1日現在","千人","974",""
"001","男女計","001","総人口","01002","1歳","00000","全国","901","2016年10月1日現在","千人","960",""
"001","男女計","001","総人口","01002","1歳","00000","全国","1001","2017年10月1日現在","千人","1000",""
"001","男女計","001","総人口","01002","1歳","00000","全国","1101","2018年10月1日現在","千人","961",""
